Rnk,Player,Team,Gms,CLUTCH,SH,DF,FT,TO,REB,AST,STL,BLK
16,Buddy Boeheim,DET,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,Cade Cunningham,DET,11,-0.43,-0.29,0.07,0.05,-0.25,0.14,0.83,0.13,0.04
1,Stephen Curry,GSW,27,1.33,1.60,0.33,0.27,-0.86,0.55,1.67,0.07,0.07
2,Klay Thompson,GSW,32,0.85,0.99,0.04,0.04,-0.21,0.44,0.57,0.15,0.22
3,Donte DiVincenzo,GSW,32,0.46,0.55,0.07,0.02,-0.17,0.39,0.80,0.52,0.01
4,Jonathan Kuminga,GSW,31,0.44,0.47,0.13,0.05,-0.21,0.27,0.54,0.19,0.14
5,Kevon Looney,GSW,42,0.41,0.45,0.14,-0.04,-0.13,1.32,1.00,0.07,0.09
6,Moses Moody,GSW,34,0.25,0.39,0.05,-0.02,-0.18,0.08,0.05,0.04,0.01
7,Andrew Wiggins,GSW,25,0.23,0.47,0.07,-0.01,-0.30,0.23,0.58,0.14,0.05
8,Ty Jerome,GSW,26,0.22,0.27,0.03,0.01,-0.09,0.09,0.54,0.07,0.01
9,Patrick Baldwin Jr.,GSW,14,0.06,0.08,0.02,0.01,-0.05,0.01,0.02,0.04,0.00
10,James Wiseman,GSW,19,0.02,0.07,0.01,-0.00,-0.05,0.05,0.05,0.02,0.00
11,Andre Iguodala,GSW,3,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00
12,Ryan Rollins,GSW,12,-0.01,0.00,0.01,0.01,-0.03,0.00,0.00,0.00,0.00
13,JaMychal Green,GSW,27,-0.08,0.10,0.04,-0.01,-0.21,0.19,0.20,0.02,0.01
14,Anthony Lamb,GSW,33,-0.19,0.02,0.06,0.02,-0.29,0.35,0.77,0.18,0.01
15,Draymond Green,GSW,37,-0.30,0.59,0.10,-0.14,-0.85,0.62,1.76,0.20,0.31
16,Jordan Poole,GSW,41,-0.50,0.41,0.26,0.17,-1.34,0.38,1.61,0.13,0.03
1,Tari Eason,HOU,43,0.30,0.36,0.20,0.05,-0.31,0.59,0.36,0.34,0.09
2,Kenyon Martin Jr.,HOU,42,0.30,0.64,0.19,-0.02,-0.51,0.62,0.50,0.07,0.07
3,Garrison Mathews,HOU,35,0.24,0.10,0.09,0.10,-0.06,0.07,0.26,0.27,0.02
4,Jabari Smith Jr.,HOU,41,0.12,0.22,0.13,0.02,-0.25,0.82,0.31,0.15,0.19
5,Bruno Fernando,HOU,21,0.11,0.18,0.06,-0.02,-0.11,0.25,0.05,0.06,0.02
6,Usman Garuba,HOU,39,0.00,0.20,0.05,-0.01,-0.23,0.40,0.17,0.08,0.06
7,Darius Days,HOU,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,Trevor Hudgins,HOU,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,Boban Marjanovic,HOU,15,-0.00,0.01,0.00,-0.00,-0.01,0.00,0.00,0.00,0.00
10,Josh Christopher,HOU,25,-0.05,-0.01,0.02,0.01,-0.06,0.03,0.03,0.01,0.01
11,Daishen Nix,HOU,35,-0.06,0.14,0.02,0.00,-0.22,0.07,0.50,0.09,0.03
12,TyTy Washington Jr.,HOU,13,-0.07,-0.05,0.01,-0.01,-0.02,0.02,0.20,0.00,0.00
13,Jae'Sean Tate,HOU,6,-0.10,-0.04,0.02,-0.00,-0.07,0.08,0.12,0.05,0.01
14,Eric Gordon,HOU,36,-0.15,0.31,0.12,0.03,-0.61,0.16,1.01,0.22,0.06
